ts,open,high,low,close,n_obs,source,quality,xcheck_spread_bps,xcheck_sources
2022-07-04 00:00:00+00:00,1.0,1.0,1.0,1.0,1,chainlink,measured,2.6999999999999247,1
2022-07-05 00:00:00+00:00,1.00053174,1.00053174,1.00053174,1.00053174,1,chainlink,measured,11.917399999999967,1
2022-07-06 00:00:00+00:00,1.00072564,1.00072564,1.00072564,1.00072564,1,chainlink,measured,2.856399999999759,1
2022-07-07 00:00:00+00:00,1.00028204,1.00028204,1.00028204,1.00028204,1,chainlink,measured,0.17959999999872522,1
2022-07-08 00:00:00+00:00,1.00016595,1.00016595,1.00016595,1.00016595,1,chainlink,measured,1.7594999999992478,1
2022-07-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1,chainlink,measured,3.9999999999995595,1
2022-07-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1,chainlink,measured,3.6999999999998145,1
2022-07-11 00:00:00+00:00,1.0003994,1.0003994,1.0003994,1.0003994,1,chainlink,measured,1.5940000000003174,1
2022-07-12 00:00:00+00:00,1.0006514,1.0006514,1.0006514,1.0006514,1,chainlink,measured,9.814000000000211,1
2022-07-13 00:00:00+00:00,0.99990002,0.99990002,0.99990002,0.99990002,1,chainlink,measured,0.9997999999999951,1
2022-07-14 00:00:00+00:00,1.00054049,1.00054049,1.00054049,1.00054049,1,chainlink,measured,7.404899999998715,1
2022-07-15 00:00:00+00:00,1.00002079,1.00002079,1.00002079,1.00002079,1,chainlink,measured,2.6079000000001074,1
2022-07-16 00:00:00+00:00,1.00002781,1.00002781,1.00002781,1.00002781,1,chainlink,measured,4.221900000001,1
2022-07-17 00:00:00+00:00,0.9998,0.99984849,0.9998,0.99984849,2,chainlink,measured,2.0151000000012687,1
2022-07-18 00:00:00+00:00,0.99977267,0.99977267,0.99977267,0.99977267,1,chainlink,measured,2.6733000000001006,1
2022-07-19 00:00:00+00:00,0.9999,0.9999,0.9999,0.9999,1,chainlink,measured,3.2999999999994145,1
2022-07-20 00:00:00+00:00,1.00024509,1.00024509,1.00024509,1.00024509,1,chainlink,measured,1.1508999999998437,1
2022-07-21 00:00:00+00:00,1.00024622,1.00024622,1.00024622,1.00024622,1,chainlink,measured,1.5622000000004022,1
2022-07-22 00:00:00+00:00,1.00009393,1.00009393,1.00009393,1.00009393,1,chainlink,measured,1.4393000000001432,1
2022-07-23 00:00:00+00:00,1.00008601,1.00008601,1.00008601,1.00008601,1,chainlink,measured,2.2399000000006275,1
2022-07-24 00:00:00+00:00,1.00009137,1.00009137,1.00009137,1.00009137,1,chainlink,measured,0.5863000000005947,1
2022-07-25 00:00:00+00:00,1.0,1.0,1.0,1.0,1,chainlink,measured,0.2999999999997449,1
2022-07-26 00:00:00+00:00,1.00037178,1.00037178,1.00037178,1.00037178,1,chainlink,measured,0.5177999999994576,1
2022-07-27 00:00:00+00:00,1.00001973,1.00001973,1.00001973,1.00001973,1,chainlink,measured,4.202700000000004,1
2022-07-28 00:00:00+00:00,1.0000481,1.0000481,1.0000481,1.0000481,1,chainlink,measured,4.518999999998385,1
2022-07-29 00:00:00+00:00,1.00000638,1.00000638,1.00000638,1.00000638,1,chainlink,measured,1.5361999999985443,1
2022-07-30 00:00:00+00:00,1.0,1.0,1.0,1.0,1,chainlink,measured,0.0999999999995449,1
2022-07-31 00:00:00+00:00,1.00002092,1.00002092,1.00002092,1.00002092,1,chainlink,measured,2.6092000000010884,1
2022-08-01 00:00:00+00:00,0.99989049,0.99989049,0.99989049,0.99989049,1,chainlink,measured,1.904899999999321,1
2022-08-02 00:00:00+00:00,1.00008715,1.00008715,1.00008715,1.00008715,1,chainlink,measured,3.6714999999987175,1
2022-08-03 00:00:00+00:00,1.0035997,1.0035997,1.00061002,1.00061002,2,chainlink,measured,5.9002000000019095,1
2022-08-04 00:00:00+00:00,1.0000294,1.0000294,1.0000294,1.0000294,1,chainlink,measured,2.4940000000006624,1
